Rank,Club,Country,Level,Elo,From,To
None,Benevento,ITA,2,1406.77514648,2016-07-01,2016-07-28
None,Benevento,ITA,2,1407.26940918,2016-07-29,2016-08-04
None,Benevento,ITA,2,1410.49951172,2016-08-05,2016-08-17
None,Benevento,ITA,2,1411.21911621,2016-08-18,2016-08-18
None,Benevento,ITA,2,1411.64038086,2016-08-19,2016-08-23
None,Benevento,ITA,2,1401.92956543,2016-08-24,2016-08-25
None,Benevento,ITA,2,1401.92993164,2016-08-26,2016-08-27
None,Benevento,ITA,2,1410.82873535,2016-08-28,2016-09-04
None,Benevento,ITA,2,1416.22644043,2016-09-05,2016-09-10
None,Benevento,ITA,2,1429.18566895,2016-09-11,2016-09-13
None,Benevento,ITA,2,1432.29516602,2016-09-14,2016-09-14
None,Benevento,ITA,2,1430.53161621,2016-09-15,2016-09-15
None,Benevento,ITA,2,1428.0880127,2016-09-16,2016-09-17
None,Benevento,ITA,2,1428.39562988,2016-09-18,2016-09-20
None,Benevento,ITA,2,1423.9798584,2016-09-21,2016-09-24
None,Benevento,ITA,2,1445.26379395,2016-09-25,2016-09-27
None,Benevento,ITA,2,1447.78112793,2016-09-28,2016-09-28
None,Benevento,ITA,2,1450.8157959,2016-09-29,2016-09-29
None,Benevento,ITA,2,1444.29321289,2016-09-30,2016-10-01
None,Benevento,ITA,2,1449.63208008,2016-10-02,2016-10-09
None,Benevento,ITA,2,1441.68640137,2016-10-10,2016-10-15
None,Benevento,ITA,2,1435.25732422,2016-10-16,2016-10-18
None,Benevento,ITA,2,1436.84887695,2016-10-19,2016-10-19
None,Benevento,ITA,2,1432.2722168,2016-10-20,2016-10-20
None,Benevento,ITA,2,1435.67907715,2016-10-21,2016-10-22
None,Benevento,ITA,2,1433.33007812,2016-10-23,2016-10-25
None,Benevento,ITA,2,1426.97521973,2016-10-26,2016-10-29
None,Benevento,ITA,2,1433.97814941,2016-10-30,2016-11-01
None,Benevento,ITA,2,1433.87878418,2016-11-02,2016-11-02
None,Benevento,ITA,2,1431.32629395,2016-11-03,2016-11-03
