Rank,Club,Country,Level,Elo,From,To
None,Cagliari,ITA,2,1529.72741699,1947-09-14,1947-09-14
None,Cagliari,ITA,2,1514.93688965,1947-09-15,1947-09-21
None,Cagliari,ITA,2,1512.58898926,1947-09-22,1947-09-28
None,Cagliari,ITA,2,1503.7355957,1947-09-29,1947-10-05
None,Cagliari,ITA,2,1489.95227051,1947-10-06,1947-10-12
None,Cagliari,ITA,2,1487.37097168,1947-10-13,1947-10-19
None,Cagliari,ITA,2,1477.91882324,1947-10-20,1947-10-26
None,Cagliari,ITA,2,1482.63562012,1947-10-27,1947-11-02
None,Cagliari,ITA,2,1476.35241699,1947-11-03,1947-11-15
None,Cagliari,ITA,2,1447.35241699,1947-11-16,1947-11-16
None,Cagliari,ITA,2,1431.51977539,1947-11-17,1947-11-23
None,Cagliari,ITA,2,1438.51452637,1947-11-24,1947-11-30
None,Cagliari,ITA,2,1451.01464844,1947-12-01,1947-12-07
None,Cagliari,ITA,2,1440.3885498,1947-12-08,1947-12-18
None,Cagliari,ITA,2,1444.3885498,1947-12-19,1947-12-21
None,Cagliari,ITA,2,1440.5267334,1947-12-22,1947-12-28
None,Cagliari,ITA,2,1435.6907959,1947-12-29,1948-01-04
None,Cagliari,ITA,2,1417.57385254,1948-01-05,1948-01-11
None,Cagliari,ITA,2,1413.19555664,1948-01-12,1948-01-18
None,Cagliari,ITA,2,1409.00708008,1948-01-19,1948-02-15
None,Cagliari,ITA,2,1403.87731934,1948-02-16,1948-02-22
None,Cagliari,ITA,2,1401.47412109,1948-02-23,1948-02-29
None,Cagliari,ITA,2,1402.06274414,1948-03-01,1948-03-07
None,Cagliari,ITA,2,1398.17980957,1948-03-08,1948-03-14
None,Cagliari,ITA,2,1393.11242676,1948-03-15,1948-03-21
None,Cagliari,ITA,2,1392.74609375,1948-03-22,1948-03-28
None,Cagliari,ITA,2,1386.98754883,1948-03-29,1948-04-05
None,Cagliari,ITA,2,1392.98754883,1948-04-06,1948-04-11
None,Cagliari,ITA,2,1401.29260254,1948-04-12,1948-04-17
None,Cagliari,ITA,2,1394.60778809,1948-04-18,1948-04-25
None,Cagliari,ITA,2,1391.2923584,1948-04-26,1948-05-02
None,Cagliari,ITA,2,1383.65270996,1948-05-03,1948-05-09
None,Cagliari,ITA,2,1381.53967285,1948-05-10,1948-05-17
None,Cagliari,ITA,2,1354.53967285,1948-05-18,1948-05-23
None,Cagliari,ITA,2,1354.1595459,1948-05-24,1948-05-30
None,Cagliari,ITA,2,1364.56066895,1948-05-31,1948-06-06
None,Cagliari,ITA,2,1378.25158691,1948-06-07,1948-06-13
None,Cagliari,ITA,2,1370.3425293,1948-06-14,1948-06-20
None,Cagliari,ITA,2,1378.46020508,1948-06-21,1948-07-24
None,Cagliari,ITA,2,1348.5880127,1952-07-06,1952-09-14
None,Cagliari,ITA,2,1354.46936035,1952-09-15,1952-09-21
None,Cagliari,ITA,2,1351.87756348,1952-09-22,1952-09-28
None,Cagliari,ITA,2,1358.7467041,1952-09-29,1952-10-05
None,Cagliari,ITA,2,1381.95275879,1952-10-06,1952-10-12
None,Cagliari,ITA,2,1378.78808594,1952-10-13,1952-10-19
None,Cagliari,ITA,2,1383.53515625,1952-10-20,1952-11-02
None,Cagliari,ITA,2,1390.81628418,1952-11-03,1952-11-09
None,Cagliari,ITA,2,1384.06176758,1952-11-10,1952-11-16
None,Cagliari,ITA,2,1401.06884766,1952-11-17,1952-11-23
None,Cagliari,ITA,2,1406.11535645,1952-11-24,1952-11-30
None,Cagliari,ITA,2,1413.38635254,1952-12-01,1952-12-07
None,Cagliari,ITA,2,1410.1282959,1952-12-08,1952-12-14
None,Cagliari,ITA,2,1402.67578125,1952-12-15,1952-12-21
None,Cagliari,ITA,2,1406.94299316,1952-12-22,1953-01-04
None,Cagliari,ITA,2,1404.3996582,1953-01-05,1953-01-11
None,Cagliari,ITA,2,1418.05993652,1953-01-12,1953-01-18
None,Cagliari,ITA,2,1428.45031738,1953-01-19,1953-01-25
None,Cagliari,ITA,2,1432.74523926,1953-01-26,1953-02-01
None,Cagliari,ITA,2,1443.82666016,1953-02-02,1953-02-08
None,Cagliari,ITA,2,1447.90478516,1953-02-09,1953-02-15
None,Cagliari,ITA,2,1443.01074219,1953-02-16,1953-02-22
None,Cagliari,ITA,2,1440.39489746,1953-02-23,1953-03-01
None,Cagliari,ITA,2,1435.77648926,1953-03-02,1953-03-08
None,Cagliari,ITA,2,1432.50561523,1953-03-09,1953-03-15
None,Cagliari,ITA,2,1429.6697998,1953-03-16,1953-03-22
