Rank,Club,Country,Level,Elo,From,To
None,Cittadella,ITA,2,1464.70483398,2000-07-02,2000-08-09
None,Cittadella,ITA,2,1464.17224121,2000-08-10,2000-08-22
None,Cittadella,ITA,2,1466.12536621,2000-08-23,2000-08-23
None,Cittadella,ITA,2,1459.6529541,2000-08-24,2000-09-03
None,Cittadella,ITA,2,1448.8927002,2000-09-04,2000-09-10
None,Cittadella,ITA,2,1455.50927734,2000-09-11,2000-09-12
None,Cittadella,ITA,2,1458.20263672,2000-09-13,2000-09-13
None,Cittadella,ITA,2,1459.39282227,2000-09-14,2000-09-14
None,Cittadella,ITA,2,1458.57409668,2000-09-15,2000-09-17
None,Cittadella,ITA,2,1468.55773926,2000-09-18,2000-09-19
None,Cittadella,ITA,2,1467.06787109,2000-09-20,2000-09-20
None,Cittadella,ITA,2,1468.63232422,2000-09-21,2000-09-24
None,Cittadella,ITA,2,1481.41564941,2000-09-25,2000-09-26
None,Cittadella,ITA,2,1486.80273438,2000-09-27,2000-09-27
None,Cittadella,ITA,2,1484.06359863,2000-09-28,2000-09-28
None,Cittadella,ITA,2,1478.39538574,2000-09-29,2000-10-01
None,Cittadella,ITA,2,1476.42614746,2000-10-02,2000-10-08
None,Cittadella,ITA,2,1481.31616211,2000-10-09,2000-10-17
None,Cittadella,ITA,2,1479.97937012,2000-10-18,2000-10-18
None,Cittadella,ITA,2,1480.24963379,2000-10-19,2000-10-22
None,Cittadella,ITA,2,1480.89697266,2000-10-23,2000-10-24
None,Cittadella,ITA,2,1477.0670166,2000-10-25,2000-10-25
None,Cittadella,ITA,2,1477.83361816,2000-10-26,2000-10-26
None,Cittadella,ITA,2,1478.81274414,2000-10-27,2000-10-29
None,Cittadella,ITA,2,1474.18908691,2000-10-30,2000-11-01
None,Cittadella,ITA,2,1482.63989258,2000-11-02,2000-11-05
None,Cittadella,ITA,2,1478.5760498,2000-11-06,2000-11-07
None,Cittadella,ITA,2,1481.18457031,2000-11-08,2000-11-08
None,Cittadella,ITA,2,1475.94274902,2000-11-09,2000-11-09
None,Cittadella,ITA,2,1468.68078613,2000-11-10,2000-11-12
None,Cittadella,ITA,2,1467.63391113,2000-11-13,2000-11-19
None,Cittadella,ITA,2,1465.57836914,2000-11-20,2000-11-21
None,Cittadella,ITA,2,1464.51513672,2000-11-22,2000-11-22
None,Cittadella,ITA,2,1461.85632324,2000-11-23,2000-11-23
None,Cittadella,ITA,2,1459.6081543,2000-11-24,2000-11-26
None,Cittadella,ITA,2,1454.76721191,2000-11-27,2000-12-03
None,Cittadella,ITA,2,1463.21899414,2000-12-04,2000-12-05
None,Cittadella,ITA,2,1464.03979492,2000-12-06,2000-12-06
None,Cittadella,ITA,2,1468.28063965,2000-12-07,2000-12-07
None,Cittadella,ITA,2,1473.75549316,2000-12-08,2000-12-10
None,Cittadella,ITA,2,1476.3927002,2000-12-11,2000-12-17
None,Cittadella,ITA,2,1471.11669922,2000-12-18,2000-12-23
None,Cittadella,ITA,2,1470.02612305,2000-12-24,2001-01-14
None,Cittadella,ITA,2,1473.75708008,2001-01-15,2001-01-21
None,Cittadella,ITA,2,1482.92907715,2001-01-22,2001-01-28
None,Cittadella,ITA,2,1477.49414062,2001-01-29,2001-02-04
None,Cittadella,ITA,2,1486.3737793,2001-02-05,2001-02-11
None,Cittadella,ITA,2,1479.57958984,2001-02-12,2001-02-13
None,Cittadella,ITA,2,1478.53674316,2001-02-14,2001-02-14
None,Cittadella,ITA,2,1476.2479248,2001-02-15,2001-02-15
None,Cittadella,ITA,2,1472.15039062,2001-02-16,2001-02-18
None,Cittadella,ITA,2,1477.93945312,2001-02-19,2001-02-20
None,Cittadella,ITA,2,1477.9197998,2001-02-21,2001-02-21
None,Cittadella,ITA,2,1477.59228516,2001-02-22,2001-02-22
None,Cittadella,ITA,2,1470.41259766,2001-02-23,2001-02-25
None,Cittadella,ITA,2,1462.00793457,2001-02-26,2001-03-05
None,Cittadella,ITA,2,1462.70776367,2001-03-06,2001-03-06
None,Cittadella,ITA,2,1463.53662109,2001-03-07,2001-03-07
None,Cittadella,ITA,2,1460.70837402,2001-03-08,2001-03-11
None,Cittadella,ITA,2,1456.79162598,2001-03-12,2001-03-13
None,Cittadella,ITA,2,1456.94921875,2001-03-14,2001-03-14
None,Cittadella,ITA,2,1457.81494141,2001-03-15,2001-03-18
None,Cittadella,ITA,2,1446.42895508,2001-03-19,2001-03-25
None,Cittadella,ITA,2,1452.94348145,2001-03-26,2001-03-30
None,Cittadella,ITA,2,1443.82202148,2001-03-31,2001-04-08
None,Cittadella,ITA,2,1438.55737305,2001-04-09,2001-04-14
None,Cittadella,ITA,2,1450.02563477,2001-04-15,2001-04-22
None,Cittadella,ITA,2,1462.18713379,2001-04-23,2001-04-29
None,Cittadella,ITA,2,1465.50891113,2001-04-30,2001-05-12
None,Cittadella,ITA,2,1469.96899414,2001-05-13,2001-05-20
None,Cittadella,ITA,2,1469.26159668,2001-05-21,2001-05-27
None,Cittadella,ITA,2,1460.64379883,2001-05-28,2001-06-06
None,Cittadella,ITA,2,1458.31176758,2001-06-07,2001-06-10
None,Cittadella,ITA,2,1461.23474121,2001-06-11,2001-08-08
None,Cittadella,ITA,2,1454.32409668,2001-08-09,2001-08-21
None,Cittadella,ITA,2,1456.03686523,2001-08-22,2001-08-22
None,Cittadella,ITA,2,1457.80395508,2001-08-23,2001-08-26
None,Cittadella,ITA,2,1453.12915039,2001-08-27,2001-09-02
None,Cittadella,ITA,2,1451.8873291,2001-09-03,2001-09-09
None,Cittadella,ITA,2,1449.25952148,2001-09-10,2001-09-11
None,Cittadella,ITA,2,1443.37719727,2001-09-12,2001-09-17
None,Cittadella,ITA,2,1435.08251953,2001-09-18,2001-09-18
None,Cittadella,ITA,2,1435.74633789,2001-09-19,2001-09-19
None,Cittadella,ITA,2,1429.51818848,2001-09-20,2001-09-20
None,Cittadella,ITA,2,1429.78564453,2001-09-21,2001-09-23
None,Cittadella,ITA,2,1421.28833008,2001-09-24,2001-09-25
None,Cittadella,ITA,2,1420.47595215,2001-09-26,2001-09-26
None,Cittadella,ITA,2,1418.78479004,2001-09-27,2001-09-27
None,Cittadella,ITA,2,1420.37963867,2001-09-28,2001-09-30
None,Cittadella,ITA,2,1430.49560547,2001-10-01,2001-10-07
None,Cittadella,ITA,2,1441.97375488,2001-10-08,2001-10-10
None,Cittadella,ITA,2,1442.29467773,2001-10-11,2001-10-14
None,Cittadella,ITA,2,1435.47595215,2001-10-15,2001-10-16
None,Cittadella,ITA,2,1438.49499512,2001-10-17,2001-10-17
None,Cittadella,ITA,2,1439.12036133,2001-10-18,2001-10-18
None,Cittadella,ITA,2,1447.63098145,2001-10-19,2001-10-23
None,Cittadella,ITA,2,1449.04125977,2001-10-24,2001-10-24
None,Cittadella,ITA,2,1452.02661133,2001-10-25,2001-10-28
None,Cittadella,ITA,2,1463.35766602,2001-10-29,2001-10-30
None,Cittadella,ITA,2,1458.65942383,2001-10-31,2001-10-31
None,Cittadella,ITA,2,1455.69055176,2001-11-01,2001-11-01
None,Cittadella,ITA,2,1458.00488281,2001-11-02,2001-11-04
None,Cittadella,ITA,2,1444.82263184,2001-11-05,2001-11-16
None,Cittadella,ITA,2,1436.17370605,2001-11-17,2001-11-20
None,Cittadella,ITA,2,1436.24194336,2001-11-21,2001-11-21
None,Cittadella,ITA,2,1433.17541504,2001-11-22,2001-11-22
None,Cittadella,ITA,2,1429.37402344,2001-11-23,2001-11-25
None,Cittadella,ITA,2,1429.46130371,2001-11-26,2001-11-29
None,Cittadella,ITA,2,1432.99035645,2001-11-30,2001-12-02
None,Cittadella,ITA,2,1427.51025391,2001-12-03,2001-12-04
None,Cittadella,ITA,2,1424.94702148,2001-12-05,2001-12-05
None,Cittadella,ITA,2,1424.03662109,2001-12-06,2001-12-06
None,Cittadella,ITA,2,1433.8840332,2001-12-07,2001-12-09
None,Cittadella,ITA,2,1424.64892578,2001-12-10,2001-12-16
None,Cittadella,ITA,2,1435.66894531,2001-12-17,2001-12-19
None,Cittadella,ITA,2,1441.06030273,2001-12-20,2001-12-23
None,Cittadella,ITA,2,1449.47900391,2001-12-24,2002-01-06
None,Cittadella,ITA,2,1443.99047852,2002-01-07,2002-01-13
None,Cittadella,ITA,2,1454.5012207,2002-01-14,2002-01-20
None,Cittadella,ITA,2,1449.79162598,2002-01-21,2002-02-03
None,Cittadella,ITA,2,1451.32458496,2002-02-04,2002-02-10
None,Cittadella,ITA,2,1448.91809082,2002-02-11,2002-02-17
None,Cittadella,ITA,2,1447.47583008,2002-02-18,2002-02-19
None,Cittadella,ITA,2,1447.02685547,2002-02-20,2002-02-20
None,Cittadella,ITA,2,1448.33898926,2002-02-21,2002-02-21
None,Cittadella,ITA,2,1450.30639648,2002-02-22,2002-02-24
None,Cittadella,ITA,2,1456.65454102,2002-02-25,2002-02-26
None,Cittadella,ITA,2,1459.4309082,2002-02-27,2002-02-27
None,Cittadella,ITA,2,1456.64111328,2002-02-28,2002-02-28
None,Cittadella,ITA,2,1447.66259766,2002-03-01,2002-03-04
None,Cittadella,ITA,2,1453.06420898,2002-03-05,2002-03-10
None,Cittadella,ITA,2,1452.00744629,2002-03-11,2002-03-12
None,Cittadella,ITA,2,1449.06103516,2002-03-13,2002-03-13
None,Cittadella,ITA,2,1446.69506836,2002-03-14,2002-03-14
None,Cittadella,ITA,2,1443.82653809,2002-03-15,2002-03-17
None,Cittadella,ITA,2,1449.25134277,2002-03-18,2002-03-19
None,Cittadella,ITA,2,1446.91564941,2002-03-20,2002-03-20
None,Cittadella,ITA,2,1448.61523438,2002-03-21,2002-03-21
None,Cittadella,ITA,2,1458.48327637,2002-03-22,2002-03-30
