Rank,Club,Country,Level,Elo,From,To
None,Crotone,ITA,2,1464.70483398,2000-07-02,2000-08-09
None,Crotone,ITA,2,1464.17224121,2000-08-10,2000-08-22
None,Crotone,ITA,2,1466.12536621,2000-08-23,2000-08-23
None,Crotone,ITA,2,1459.6529541,2000-08-24,2000-09-03
None,Crotone,ITA,2,1454.34423828,2000-09-04,2000-09-10
None,Crotone,ITA,2,1461.21228027,2000-09-11,2000-09-12
None,Crotone,ITA,2,1463.90563965,2000-09-13,2000-09-13
None,Crotone,ITA,2,1465.09570312,2000-09-14,2000-09-14
None,Crotone,ITA,2,1464.27709961,2000-09-15,2000-09-17
None,Crotone,ITA,2,1456.95349121,2000-09-18,2000-09-19
None,Crotone,ITA,2,1455.46362305,2000-09-20,2000-09-20
None,Crotone,ITA,2,1457.02819824,2000-09-21,2000-09-24
None,Crotone,ITA,2,1444.58215332,2000-09-25,2000-09-26
None,Crotone,ITA,2,1449.96923828,2000-09-27,2000-09-27
None,Crotone,ITA,2,1447.23010254,2000-09-28,2000-09-28
None,Crotone,ITA,2,1441.56176758,2000-09-29,2000-10-01
None,Crotone,ITA,2,1437.97119141,2000-10-02,2000-10-08
None,Crotone,ITA,2,1444.66296387,2000-10-09,2000-10-17
None,Crotone,ITA,2,1443.32617188,2000-10-18,2000-10-18
None,Crotone,ITA,2,1443.59643555,2000-10-19,2000-10-22
None,Crotone,ITA,2,1456.52722168,2000-10-23,2000-10-24
None,Crotone,ITA,2,1452.6973877,2000-10-25,2000-10-25
None,Crotone,ITA,2,1453.46398926,2000-10-26,2000-10-26
None,Crotone,ITA,2,1454.44299316,2000-10-27,2000-10-29
None,Crotone,ITA,2,1479.45507812,2000-10-30,2000-11-01
None,Crotone,ITA,2,1480.18225098,2000-11-02,2000-11-05
None,Crotone,ITA,2,1491.76220703,2000-11-06,2000-11-07
None,Crotone,ITA,2,1494.37072754,2000-11-08,2000-11-08
None,Crotone,ITA,2,1489.12890625,2000-11-09,2000-11-09
None,Crotone,ITA,2,1481.86694336,2000-11-10,2000-11-12
None,Crotone,ITA,2,1487.42126465,2000-11-13,2000-11-19
None,Crotone,ITA,2,1483.74780273,2000-11-20,2000-11-21
None,Crotone,ITA,2,1482.68457031,2000-11-22,2000-11-22
None,Crotone,ITA,2,1480.02587891,2000-11-23,2000-11-23
None,Crotone,ITA,2,1477.77770996,2000-11-24,2000-11-26
None,Crotone,ITA,2,1487.43225098,2000-11-27,2000-12-03
None,Crotone,ITA,2,1478.98046875,2000-12-04,2000-12-05
None,Crotone,ITA,2,1479.80114746,2000-12-06,2000-12-06
None,Crotone,ITA,2,1484.04199219,2000-12-07,2000-12-07
None,Crotone,ITA,2,1489.51696777,2000-12-08,2000-12-10
None,Crotone,ITA,2,1486.4666748,2000-12-11,2000-12-17
None,Crotone,ITA,2,1498.77600098,2000-12-18,2000-12-23
None,Crotone,ITA,2,1497.39416504,2000-12-24,2001-01-14
None,Crotone,ITA,2,1507.47387695,2001-01-15,2001-01-22
None,Crotone,ITA,2,1494.41394043,2001-01-23,2001-01-28
None,Crotone,ITA,2,1502.81079102,2001-01-29,2001-02-04
None,Crotone,ITA,2,1512.42651367,2001-02-05,2001-02-11
None,Crotone,ITA,2,1502.6295166,2001-02-12,2001-02-13
None,Crotone,ITA,2,1501.58666992,2001-02-14,2001-02-14
None,Crotone,ITA,2,1499.29785156,2001-02-15,2001-02-15
None,Crotone,ITA,2,1495.20031738,2001-02-16,2001-02-18
None,Crotone,ITA,2,1489.98413086,2001-02-19,2001-02-20
None,Crotone,ITA,2,1489.96447754,2001-02-21,2001-02-21
None,Crotone,ITA,2,1489.63696289,2001-02-22,2001-02-22
None,Crotone,ITA,2,1482.45727539,2001-02-23,2001-02-25
None,Crotone,ITA,2,1488.03881836,2001-02-26,2001-03-04
None,Crotone,ITA,2,1488.01330566,2001-03-05,2001-03-06
None,Crotone,ITA,2,1488.84228516,2001-03-07,2001-03-07
None,Crotone,ITA,2,1486.01391602,2001-03-08,2001-03-09
None,Crotone,ITA,2,1499.4296875,2001-03-10,2001-03-13
