Rank,Club,Country,Level,Elo,From,To
None,Entella,ITA,2,1321.78979492,2014-07-01,2014-07-31
None,Entella,ITA,2,1322.21801758,2014-08-01,2014-08-07
None,Entella,ITA,2,1322.45031738,2014-08-08,2014-08-19
None,Entella,ITA,2,1321.94604492,2014-08-20,2014-08-21
None,Entella,ITA,2,1321.48950195,2014-08-22,2014-08-27
None,Entella,ITA,2,1317.74084473,2014-08-28,2014-08-28
None,Entella,ITA,2,1319.34802246,2014-08-29,2014-08-30
None,Entella,ITA,2,1311.78015137,2014-08-31,2014-09-07
None,Entella,ITA,2,1317.80664062,2014-09-08,2014-09-13
None,Entella,ITA,2,1310.72180176,2014-09-14,2014-09-16
None,Entella,ITA,2,1311.37719727,2014-09-17,2014-09-17
None,Entella,ITA,2,1315.11328125,2014-09-18,2014-09-18
None,Entella,ITA,2,1322.0291748,2014-09-19,2014-09-19
None,Entella,ITA,2,1317.63354492,2014-09-20,2014-09-23
None,Entella,ITA,2,1321.77648926,2014-09-24,2014-09-27
None,Entella,ITA,2,1336.02099609,2014-09-28,2014-09-30
None,Entella,ITA,2,1337.87866211,2014-10-01,2014-10-01
None,Entella,ITA,2,1335.91149902,2014-10-02,2014-10-02
None,Entella,ITA,2,1341.08813477,2014-10-03,2014-10-04
None,Entella,ITA,2,1329.80249023,2014-10-05,2014-10-20
None,Entella,ITA,2,1340.93713379,2014-10-21,2014-10-21
None,Entella,ITA,2,1337.22497559,2014-10-22,2014-10-22
None,Entella,ITA,2,1333.04064941,2014-10-23,2014-10-23
None,Entella,ITA,2,1329.42797852,2014-10-24,2014-10-25
None,Entella,ITA,2,1337.52941895,2014-10-26,2014-10-28
None,Entella,ITA,2,1330.59204102,2014-10-29,2014-11-01
None,Entella,ITA,2,1331.49157715,2014-11-02,2014-11-04
None,Entella,ITA,2,1339.8704834,2014-11-05,2014-11-05
None,Entella,ITA,2,1339.14599609,2014-11-06,2014-11-06
None,Entella,ITA,2,1334.29968262,2014-11-07,2014-11-08
None,Entella,ITA,2,1328.17480469,2014-11-09,2014-11-22
None,Entella,ITA,2,1319.39111328,2014-11-23,2014-11-25
None,Entella,ITA,2,1319.45300293,2014-11-26,2014-11-26
None,Entella,ITA,2,1320.7388916,2014-11-27,2014-11-27
None,Entella,ITA,2,1323.64611816,2014-11-28,2014-11-29
None,Entella,ITA,2,1324.39538574,2014-11-30,2014-12-06
None,Entella,ITA,2,1327.53723145,2014-12-07,2014-12-09
None,Entella,ITA,2,1327.34790039,2014-12-10,2014-12-10
None,Entella,ITA,2,1324.55822754,2014-12-11,2014-12-11
None,Entella,ITA,2,1323.27160645,2014-12-12,2014-12-13
None,Entella,ITA,2,1330.58850098,2014-12-14,2014-12-16
None,Entella,ITA,2,1332.66064453,2014-12-17,2014-12-20
None,Entella,ITA,2,1334.67138672,2014-12-21,2014-12-24
None,Entella,ITA,2,1337.62011719,2014-12-25,2014-12-28
None,Entella,ITA,2,1336.87719727,2014-12-29,2015-01-17
None,Entella,ITA,2,1340.42163086,2015-01-18,2015-01-24
None,Entella,ITA,2,1334.84326172,2015-01-25,2015-01-31
None,Entella,ITA,2,1325.8104248,2015-02-01,2015-02-07
None,Entella,ITA,2,1338.87988281,2015-02-08,2015-02-14
None,Entella,ITA,2,1337.77685547,2015-02-15,2015-02-19
None,Entella,ITA,2,1340.84631348,2015-02-20,2015-02-21
None,Entella,ITA,2,1346.3572998,2015-02-22,2015-02-24
None,Entella,ITA,2,1347.2722168,2015-02-25,2015-02-26
None,Entella,ITA,2,1362.58947754,2015-02-27,2015-02-28
None,Entella,ITA,2,1349.34643555,2015-03-01,2015-03-03
None,Entella,ITA,2,1360.44030762,2015-03-04,2015-03-09
None,Entella,ITA,2,1368.23083496,2015-03-10,2015-03-12
None,Entella,ITA,2,1366.95080566,2015-03-13,2015-03-14
None,Entella,ITA,2,1369.89208984,2015-03-15,2015-03-18
None,Entella,ITA,2,1373.92016602,2015-03-19,2015-03-19
None,Entella,ITA,2,1374.71240234,2015-03-20,2015-03-21
None,Entella,ITA,2,1386.53808594,2015-03-22,2015-03-29
None,Entella,ITA,2,1381.10412598,2015-03-30,2015-04-02
None,Entella,ITA,2,1368.38122559,2015-04-03,2015-04-11
None,Entella,ITA,2,1361.22229004,2015-04-12,2015-04-14
None,Entella,ITA,2,1362.4041748,2015-04-15,2015-04-16
None,Entella,ITA,2,1370.67199707,2015-04-17,2015-04-20
None,Entella,ITA,2,1368.49719238,2015-04-21,2015-04-22
