Rank,Club,Country,Level,Elo,From,To
None,Frosinone,ITA,2,1490.96936035,2006-07-02,2006-08-09
None,Frosinone,ITA,2,1487.5546875,2006-08-10,2006-08-22
None,Frosinone,ITA,2,1487.99975586,2006-08-23,2006-08-23
None,Frosinone,ITA,2,1486.50805664,2006-08-24,2006-09-09
None,Frosinone,ITA,2,1479.50012207,2006-09-10,2006-09-12
None,Frosinone,ITA,2,1479.93676758,2006-09-13,2006-09-13
None,Frosinone,ITA,2,1480.41491699,2006-09-14,2006-09-14
None,Frosinone,ITA,2,1484.42333984,2006-09-15,2006-09-16
None,Frosinone,ITA,2,1482.8951416,2006-09-17,2006-09-19
None,Frosinone,ITA,2,1475.74560547,2006-09-20,2006-09-23
None,Frosinone,ITA,2,1473.75305176,2006-09-24,2006-09-26
None,Frosinone,ITA,2,1473.09387207,2006-09-27,2006-09-27
None,Frosinone,ITA,2,1466.7755127,2006-09-28,2006-09-28
None,Frosinone,ITA,2,1472.14880371,2006-09-29,2006-09-30
None,Frosinone,ITA,2,1481.44384766,2006-10-01,2006-10-14
None,Frosinone,ITA,2,1493.81066895,2006-10-15,2006-10-17
None,Frosinone,ITA,2,1495.10107422,2006-10-18,2006-10-18
None,Frosinone,ITA,2,1498.55822754,2006-10-19,2006-10-19
None,Frosinone,ITA,2,1499.85461426,2006-10-20,2006-10-21
None,Frosinone,ITA,2,1489.47949219,2006-10-22,2006-10-28
None,Frosinone,ITA,2,1488.81628418,2006-10-29,2006-10-31
None,Frosinone,ITA,2,1488.6529541,2006-11-01,2006-11-01
None,Frosinone,ITA,2,1497.29931641,2006-11-02,2006-11-02
None,Frosinone,ITA,2,1493.49951172,2006-11-03,2006-11-04
None,Frosinone,ITA,2,1501.89050293,2006-11-05,2006-11-11
None,Frosinone,ITA,2,1495.89501953,2006-11-12,2006-11-18
None,Frosinone,ITA,2,1502.22570801,2006-11-19,2006-11-21
None,Frosinone,ITA,2,1498.3815918,2006-11-22,2006-11-22
None,Frosinone,ITA,2,1496.80480957,2006-11-23,2006-11-23
None,Frosinone,ITA,2,1494.33288574,2006-11-24,2006-11-27
None,Frosinone,ITA,2,1492.32214355,2006-11-28,2006-11-29
None,Frosinone,ITA,2,1494.9375,2006-11-30,2006-12-02
None,Frosinone,ITA,2,1498.28881836,2006-12-03,2006-12-05
None,Frosinone,ITA,2,1501.00317383,2006-12-06,2006-12-06
None,Frosinone,ITA,2,1495.15075684,2006-12-07,2006-12-09
None,Frosinone,ITA,2,1501.91308594,2006-12-10,2006-12-13
None,Frosinone,ITA,2,1501.64367676,2006-12-14,2006-12-14
None,Frosinone,ITA,2,1501.57275391,2006-12-15,2006-12-16
None,Frosinone,ITA,2,1495.99902344,2006-12-17,2006-12-19
None,Frosinone,ITA,2,1500.57324219,2006-12-20,2006-12-22
None,Frosinone,ITA,2,1487.90222168,2006-12-23,2007-01-13
None,Frosinone,ITA,2,1485.26403809,2007-01-14,2007-01-20
None,Frosinone,ITA,2,1488.24169922,2007-01-21,2007-01-27
None,Frosinone,ITA,2,1486.31066895,2007-01-28,2007-02-10
None,Frosinone,ITA,2,1487.86401367,2007-02-11,2007-02-14
None,Frosinone,ITA,2,1486.09655762,2007-02-15,2007-02-15
None,Frosinone,ITA,2,1484.64367676,2007-02-16,2007-02-17
None,Frosinone,ITA,2,1491.23669434,2007-02-18,2007-02-20
None,Frosinone,ITA,2,1491.24377441,2007-02-21,2007-02-21
None,Frosinone,ITA,2,1489.22766113,2007-02-22,2007-02-22
