Rank,Club,Country,Level,Elo,From,To
None,Inter,ITA,1,1722.61303711,1946-07-07,1946-09-22
None,Inter,ITA,1,1725.41442871,1946-09-23,1946-09-29
None,Inter,ITA,1,1714.67675781,1946-09-30,1946-10-06
None,Inter,ITA,1,1717.73327637,1946-10-07,1946-10-13
None,Inter,ITA,1,1714.92736816,1946-10-14,1946-10-20
None,Inter,ITA,1,1707.23657227,1946-10-21,1946-10-27
None,Inter,ITA,1,1716.67443848,1946-10-28,1946-11-03
None,Inter,ITA,1,1702.70532227,1946-11-04,1946-11-10
None,Inter,ITA,1,1706.44726562,1946-11-11,1946-11-12
None,Inter,ITA,1,1709.25524902,1946-11-13,1946-11-24
None,Inter,ITA,1,1706.64953613,1946-11-25,1946-12-07
None,Inter,ITA,1,1708.64953613,1946-12-08,1946-12-08
None,Inter,ITA,1,1702.24902344,1946-12-09,1946-12-15
None,Inter,ITA,1,1696.32568359,1946-12-16,1946-12-22
None,Inter,ITA,1,1704.82897949,1946-12-23,1946-12-29
None,Inter,ITA,1,1694.93774414,1946-12-30,1947-01-05
None,Inter,ITA,1,1689.68200684,1947-01-06,1947-01-12
None,Inter,ITA,1,1687.53991699,1947-01-13,1947-01-19
None,Inter,ITA,1,1684.19104004,1947-01-20,1947-01-26
None,Inter,ITA,1,1678.09838867,1947-01-27,1947-02-02
None,Inter,ITA,1,1684.76403809,1947-02-03,1947-02-16
None,Inter,ITA,1,1694.77246094,1947-02-17,1947-02-23
None,Inter,ITA,1,1712.35522461,1947-02-24,1947-03-02
None,Inter,ITA,1,1717.62939453,1947-03-03,1947-03-09
None,Inter,ITA,1,1719.00561523,1947-03-10,1947-03-16
None,Inter,ITA,1,1710.35961914,1947-03-17,1947-03-23
None,Inter,ITA,1,1720.18786621,1947-03-24,1947-03-30
None,Inter,ITA,1,1715.32922363,1947-03-31,1947-04-06
None,Inter,ITA,1,1704.7590332,1947-04-07,1947-04-13
None,Inter,ITA,1,1711.17407227,1947-04-14,1947-04-20
None,Inter,ITA,1,1705.36242676,1947-04-21,1947-04-28
None,Inter,ITA,1,1708.36242676,1947-04-29,1947-05-04
None,Inter,ITA,1,1715.71777344,1947-05-05,1947-05-14
None,Inter,ITA,1,1718.71777344,1947-05-15,1947-05-18
None,Inter,ITA,1,1718.57202148,1947-05-19,1947-05-25
None,Inter,ITA,1,1729.69921875,1947-05-26,1947-06-01
None,Inter,ITA,1,1724.64416504,1947-06-02,1947-06-08
None,Inter,ITA,1,1730.66601562,1947-06-09,1947-06-15
None,Inter,ITA,1,1722.76538086,1947-06-16,1947-06-22
None,Inter,ITA,1,1730.64135742,1947-06-23,1947-06-29
None,Inter,ITA,1,1727.73010254,1947-06-30,1947-07-06
None,Inter,ITA,1,1748.15478516,1947-07-07,1947-09-14
None,Inter,ITA,1,1746.5390625,1947-09-15,1947-09-21
None,Inter,ITA,1,1748.93005371,1947-09-22,1947-09-28
None,Inter,ITA,1,1760.37548828,1947-09-29,1947-10-05
None,Inter,ITA,1,1775.49768066,1947-10-06,1947-10-12
None,Inter,ITA,1,1785.38916016,1947-10-13,1947-10-19
None,Inter,ITA,1,1779.07714844,1947-10-20,1947-10-26
None,Inter,ITA,1,1783.30749512,1947-10-27,1947-11-02
None,Inter,ITA,1,1779.11755371,1947-11-03,1947-11-15
None,Inter,ITA,1,1750.11755371,1947-11-16,1947-11-16
