Rank,Club,Country,Level,Elo,From,To
None,Pisa,ITA,2,1471.3972168,1948-07-04,1948-09-19
None,Pisa,ITA,2,1481.66052246,1948-09-20,1948-09-26
None,Pisa,ITA,2,1477.39123535,1948-09-27,1948-10-03
None,Pisa,ITA,2,1467.70581055,1948-10-04,1948-10-10
None,Pisa,ITA,2,1464.0189209,1948-10-11,1948-10-17
None,Pisa,ITA,2,1468.14282227,1948-10-18,1948-10-24
None,Pisa,ITA,2,1477.95556641,1948-10-25,1948-10-31
None,Pisa,ITA,2,1498.00708008,1948-11-01,1948-11-04
None,Pisa,ITA,2,1502.79956055,1948-11-05,1948-11-07
None,Pisa,ITA,2,1491.20861816,1948-11-08,1948-11-14
None,Pisa,ITA,2,1486.12316895,1948-11-15,1948-11-21
None,Pisa,ITA,2,1486.96228027,1948-11-22,1948-11-28
None,Pisa,ITA,2,1481.37182617,1948-11-29,1948-12-05
None,Pisa,ITA,2,1470.09057617,1948-12-06,1948-12-12
None,Pisa,ITA,2,1481.64477539,1948-12-13,1948-12-19
None,Pisa,ITA,2,1490.99169922,1948-12-20,1948-12-26
None,Pisa,ITA,2,1502.59411621,1948-12-27,1948-12-30
None,Pisa,ITA,2,1506.36010742,1948-12-31,1949-01-02
None,Pisa,ITA,2,1515.8536377,1949-01-03,1949-01-06
None,Pisa,ITA,2,1519.6862793,1949-01-07,1949-01-09
None,Pisa,ITA,2,1515.31933594,1949-01-10,1949-01-16
None,Pisa,ITA,2,1518.49365234,1949-01-17,1949-01-23
None,Pisa,ITA,2,1515.25524902,1949-01-24,1949-01-30
None,Pisa,ITA,2,1510.56567383,1949-01-31,1949-02-06
None,Pisa,ITA,2,1517.0814209,1949-02-07,1949-02-13
None,Pisa,ITA,2,1524.15917969,1949-02-14,1949-02-20
None,Pisa,ITA,2,1526.9128418,1949-02-21,1949-03-05
None,Pisa,ITA,2,1528.9128418,1949-03-06,1949-03-06
None,Pisa,ITA,2,1521.00048828,1949-03-07,1949-03-13
None,Pisa,ITA,2,1509.94030762,1949-03-14,1949-03-20
None,Pisa,ITA,2,1506.5592041,1949-03-21,1949-04-02
None,Pisa,ITA,2,1518.5592041,1949-04-03,1949-04-03
None,Pisa,ITA,2,1523.05224609,1949-04-04,1949-04-10
None,Pisa,ITA,2,1527.92944336,1949-04-11,1949-04-17
None,Pisa,ITA,2,1523.66906738,1949-04-18,1949-04-24
None,Pisa,ITA,2,1522.70214844,1949-04-25,1949-05-01
None,Pisa,ITA,2,1518.52783203,1949-05-02,1949-05-08
None,Pisa,ITA,2,1507.18701172,1949-05-09,1949-05-15
None,Pisa,ITA,2,1511.63964844,1949-05-16,1949-05-25
None,Pisa,ITA,2,1517.63964844,1949-05-26,1949-05-29
None,Pisa,ITA,2,1523.90917969,1949-05-30,1949-06-05
None,Pisa,ITA,2,1532.60192871,1949-06-06,1949-06-12
None,Pisa,ITA,2,1527.04406738,1949-06-13,1949-06-16
None,Pisa,ITA,2,1523.04406738,1949-06-17,1949-06-19
None,Pisa,ITA,2,1527.07421875,1949-06-20,1949-06-26
None,Pisa,ITA,2,1531.64318848,1949-06-27,1949-06-29
None,Pisa,ITA,2,1443.45068359,1949-06-30,1949-07-02
None,Pisa,ITA,2,1449.78808594,1949-07-03,1949-07-03
None,Pisa,ITA,2,1443.48596191,1949-07-04,1949-09-11
None,Pisa,ITA,2,1447.55615234,1949-09-12,1949-09-18
None,Pisa,ITA,2,1453.34472656,1949-09-19,1949-09-25
None,Pisa,ITA,2,1449.40039062,1949-09-26,1949-10-02
None,Pisa,ITA,2,1457.63879395,1949-10-03,1949-10-09
None,Pisa,ITA,2,1453.87609863,1949-10-10,1949-10-16
None,Pisa,ITA,2,1455.77722168,1949-10-17,1949-10-23
None,Pisa,ITA,2,1453.1953125,1949-10-24,1949-10-30
None,Pisa,ITA,2,1448.78100586,1949-10-31,1949-11-06
None,Pisa,ITA,2,1452.86474609,1949-11-07,1949-11-13
None,Pisa,ITA,2,1465.0402832,1949-11-14,1949-11-20
None,Pisa,ITA,2,1460.08337402,1949-11-21,1949-11-27
None,Pisa,ITA,2,1463.25708008,1949-11-28,1949-12-04
None,Pisa,ITA,2,1466.68237305,1949-12-05,1949-12-08
None,Pisa,ITA,2,1472.30651855,1949-12-09,1949-12-11
None,Pisa,ITA,2,1476.73376465,1949-12-12,1949-12-18
