Rank,Club,Country,Level,Elo,From,To
None,Pordenone,ITA,2,1363.68359375,2019-07-01,2019-07-25
None,Pordenone,ITA,2,1364.14575195,2019-07-26,2019-08-01
None,Pordenone,ITA,2,1364.37121582,2019-08-02,2019-08-08
None,Pordenone,ITA,2,1366.01025391,2019-08-09,2019-08-15
None,Pordenone,ITA,2,1366.07019043,2019-08-16,2019-08-22
None,Pordenone,ITA,2,1362.80029297,2019-08-23,2019-08-29
None,Pordenone,ITA,2,1361.47705078,2019-08-30,2019-09-01
None,Pordenone,ITA,2,1353.03198242,2019-09-02,2019-09-13
None,Pordenone,ITA,2,1360.62841797,2019-09-14,2019-09-17
None,Pordenone,ITA,2,1365.19189453,2019-09-18,2019-09-18
None,Pordenone,ITA,2,1360.60205078,2019-09-19,2019-09-19
None,Pordenone,ITA,2,1359.34729004,2019-09-20,2019-09-21
None,Pordenone,ITA,2,1352.06396484,2019-09-22,2019-09-24
None,Pordenone,ITA,2,1353.21398926,2019-09-25,2019-09-29
None,Pordenone,ITA,2,1357.20922852,2019-09-30,2019-10-01
None,Pordenone,ITA,2,1355.90563965,2019-10-02,2019-10-02
None,Pordenone,ITA,2,1354.18310547,2019-10-03,2019-10-03
None,Pordenone,ITA,2,1355.03723145,2019-10-04,2019-10-05
None,Pordenone,ITA,2,1371.2935791,2019-10-06,2019-10-19
None,Pordenone,ITA,2,1360.16174316,2019-10-20,2019-10-22
None,Pordenone,ITA,2,1359.84362793,2019-10-23,2019-10-23
None,Pordenone,ITA,2,1366.9942627,2019-10-24,2019-10-24
None,Pordenone,ITA,2,1363.20910645,2019-10-25,2019-10-26
None,Pordenone,ITA,2,1363.06652832,2019-10-27,2019-10-29
None,Pordenone,ITA,2,1373.10351562,2019-10-30,2019-11-03
None,Pordenone,ITA,2,1378.44287109,2019-11-04,2019-11-05
None,Pordenone,ITA,2,1375.81738281,2019-11-06,2019-11-06
None,Pordenone,ITA,2,1379.04736328,2019-11-07,2019-11-07
None,Pordenone,ITA,2,1372.89990234,2019-11-08,2019-11-09
None,Pordenone,ITA,2,1374.28186035,2019-11-10,2019-11-23
None,Pordenone,ITA,2,1385.84008789,2019-11-24,2019-11-26
None,Pordenone,ITA,2,1390.6619873,2019-11-27,2019-11-27
None,Pordenone,ITA,2,1396.9083252,2019-11-28,2019-11-28
None,Pordenone,ITA,2,1401.79174805,2019-11-29,2019-12-02
None,Pordenone,ITA,2,1392.375,2019-12-03,2019-12-08
None,Pordenone,ITA,2,1400.08691406,2019-12-09,2019-12-10
None,Pordenone,ITA,2,1399.84448242,2019-12-11,2019-12-11
None,Pordenone,ITA,2,1409.19641113,2019-12-12,2019-12-12
None,Pordenone,ITA,2,1402.1953125,2019-12-13,2019-12-15
None,Pordenone,ITA,2,1411.49145508,2019-12-16,2019-12-22
None,Pordenone,ITA,2,1417.07128906,2019-12-23,2019-12-26
None,Pordenone,ITA,2,1400.61572266,2019-12-27,2019-12-29
None,Pordenone,ITA,2,1406.71582031,2019-12-30,2020-01-17
None,Pordenone,ITA,2,1410.12390137,2020-01-18,2020-01-25
None,Pordenone,ITA,2,1395.74816895,2020-01-26,2020-02-01
None,Pordenone,ITA,2,1389.92126465,2020-02-02,2020-02-08
None,Pordenone,ITA,2,1385.57275391,2020-02-09,2020-02-15
None,Pordenone,ITA,2,1382.04772949,2020-02-16,2020-02-19
None,Pordenone,ITA,2,1387.38024902,2020-02-20,2020-02-20
None,Pordenone,ITA,2,1390.06555176,2020-02-21,2020-02-23
None,Pordenone,ITA,2,1382.33862305,2020-02-24,2020-02-25
None,Pordenone,ITA,2,1382.3918457,2020-02-26,2020-02-26
None,Pordenone,ITA,2,1380.01965332,2020-02-27,2020-02-27
None,Pordenone,ITA,2,1381.49816895,2020-02-28,2020-02-29
None,Pordenone,ITA,2,1393.57556152,2020-03-01,2020-03-03
None,Pordenone,ITA,2,1399.86364746,2020-03-04,2020-03-07
None,Pordenone,ITA,2,1415.43945312,2020-03-08,2020-03-10
None,Pordenone,ITA,2,1417.20397949,2020-03-11,2020-04-04
None,Pordenone,ITA,2,1417.20397949,2020-04-05,2020-12-31


