Rank,Club,Country,Level,Elo,From,To
None,Roma,ITA,1,1722.61303711,1946-07-07,1946-09-22
None,Roma,ITA,1,1729.93457031,1946-09-23,1946-09-29
None,Roma,ITA,1,1720.10925293,1946-09-30,1946-10-06
None,Roma,ITA,1,1729.40771484,1946-10-07,1946-10-13
None,Roma,ITA,1,1743.65002441,1946-10-14,1946-10-20
None,Roma,ITA,1,1753.12194824,1946-10-21,1946-10-27
None,Roma,ITA,1,1737.11376953,1946-10-28,1946-11-03
None,Roma,ITA,1,1741.69885254,1946-11-04,1946-11-10
None,Roma,ITA,1,1733.9621582,1946-11-11,1946-11-12
None,Roma,ITA,1,1714.87597656,1946-11-13,1946-11-24
None,Roma,ITA,1,1717.48156738,1946-11-25,1946-12-07
None,Roma,ITA,1,1719.48156738,1946-12-08,1946-12-08
None,Roma,ITA,1,1717.64282227,1946-12-09,1946-12-15
None,Roma,ITA,1,1725.79138184,1946-12-16,1946-12-22
None,Roma,ITA,1,1716.39587402,1946-12-23,1946-12-29
None,Roma,ITA,1,1723.33496094,1946-12-30,1947-01-05
None,Roma,ITA,1,1716.23486328,1947-01-06,1947-01-12
None,Roma,ITA,1,1732.73461914,1947-01-13,1947-01-19
None,Roma,ITA,1,1729.89318848,1947-01-20,1947-01-26
None,Roma,ITA,1,1721.17871094,1947-01-27,1947-02-02
None,Roma,ITA,1,1715.77319336,1947-02-03,1947-02-16
None,Roma,ITA,1,1705.88000488,1947-02-17,1947-02-23
None,Roma,ITA,1,1695.85205078,1947-02-24,1947-03-02
None,Roma,ITA,1,1698.90014648,1947-03-03,1947-03-09
None,Roma,ITA,1,1705.56481934,1947-03-10,1947-03-16
None,Roma,ITA,1,1694.15319824,1947-03-17,1947-03-23
None,Roma,ITA,1,1689.02380371,1947-03-24,1947-03-30
None,Roma,ITA,1,1679.52661133,1947-03-31,1947-04-06
None,Roma,ITA,1,1679.7902832,1947-04-07,1947-04-13
None,Roma,ITA,1,1674.11401367,1947-04-14,1947-04-20
None,Roma,ITA,1,1679.92553711,1947-04-21,1947-04-28
None,Roma,ITA,1,1682.92553711,1947-04-29,1947-05-04
None,Roma,ITA,1,1680.15136719,1947-05-05,1947-05-14
None,Roma,ITA,1,1683.15136719,1947-05-15,1947-05-18
None,Roma,ITA,1,1687.3536377,1947-05-19,1947-05-25
None,Roma,ITA,1,1677.31384277,1947-05-26,1947-06-01
None,Roma,ITA,1,1680.22473145,1947-06-02,1947-06-08
None,Roma,ITA,1,1688.81665039,1947-06-09,1947-06-15
None,Roma,ITA,1,1686.69702148,1947-06-16,1947-06-22
None,Roma,ITA,1,1706.70837402,1947-06-23,1947-06-29
None,Roma,ITA,1,1704.36437988,1947-06-30,1947-07-06
None,Roma,ITA,1,1690.34082031,1947-07-07,1947-09-14
None,Roma,ITA,1,1685.32958984,1947-09-15,1947-09-21
