Rank,Club,Country,Level,Elo,From,To
None,Trapani,ITA,2,1352.8795166,2013-07-01,2013-08-01
None,Trapani,ITA,2,1353.16589355,2013-08-02,2013-08-08
None,Trapani,ITA,2,1353.31713867,2013-08-09,2013-08-20
None,Trapani,ITA,2,1353.82348633,2013-08-21,2013-08-22
None,Trapani,ITA,2,1348.64770508,2013-08-23,2013-08-24
None,Trapani,ITA,2,1363.30334473,2013-08-25,2013-08-28
None,Trapani,ITA,2,1366.77294922,2013-08-29,2013-08-29
None,Trapani,ITA,2,1365.4979248,2013-08-30,2013-09-02
None,Trapani,ITA,2,1365.4197998,2013-09-03,2013-09-08
None,Trapani,ITA,2,1370.53637695,2013-09-09,2013-09-14
None,Trapani,ITA,2,1384.92443848,2013-09-15,2013-09-17
None,Trapani,ITA,2,1382.66235352,2013-09-18,2013-09-18
None,Trapani,ITA,2,1388.10058594,2013-09-19,2013-09-19
None,Trapani,ITA,2,1391.00683594,2013-09-20,2013-09-21
None,Trapani,ITA,2,1382.24169922,2013-09-22,2013-09-24
None,Trapani,ITA,2,1373.46923828,2013-09-25,2013-09-28
None,Trapani,ITA,2,1369.96447754,2013-09-29,2013-10-01
None,Trapani,ITA,2,1367.91918945,2013-10-02,2013-10-02
None,Trapani,ITA,2,1366.05603027,2013-10-03,2013-10-03
None,Trapani,ITA,2,1368.37121582,2013-10-04,2013-10-05
None,Trapani,ITA,2,1366.1595459,2013-10-06,2013-10-13
None,Trapani,ITA,2,1369.85473633,2013-10-14,2013-10-19
None,Trapani,ITA,2,1368.41259766,2013-10-20,2013-10-22
None,Trapani,ITA,2,1372.92004395,2013-10-23,2013-10-23
None,Trapani,ITA,2,1372.03820801,2013-10-24,2013-10-24
None,Trapani,ITA,2,1371.93920898,2013-10-25,2013-10-26
None,Trapani,ITA,2,1375.22167969,2013-10-27,2013-11-01
None,Trapani,ITA,2,1364.68713379,2013-11-02,2013-11-05
None,Trapani,ITA,2,1365.94128418,2013-11-06,2013-11-06
None,Trapani,ITA,2,1366.4654541,2013-11-07,2013-11-07
None,Trapani,ITA,2,1368.61645508,2013-11-08,2013-11-09
None,Trapani,ITA,2,1363.54907227,2013-11-10,2013-11-17
None,Trapani,ITA,2,1371.81555176,2013-11-18,2013-11-23
None,Trapani,ITA,2,1380.45947266,2013-11-24,2013-11-26
None,Trapani,ITA,2,1382.59313965,2013-11-27,2013-11-27
None,Trapani,ITA,2,1383.26220703,2013-11-28,2013-11-28
None,Trapani,ITA,2,1383.8380127,2013-11-29,2013-11-30
None,Trapani,ITA,2,1391.87243652,2013-12-01,2013-12-07
None,Trapani,ITA,2,1392.55517578,2013-12-08,2013-12-11
None,Trapani,ITA,2,1392.54956055,2013-12-12,2013-12-12
None,Trapani,ITA,2,1392.58886719,2013-12-13,2013-12-14
None,Trapani,ITA,2,1391.42736816,2013-12-15,2013-12-20
None,Trapani,ITA,2,1405.3885498,2013-12-21,2013-12-26
None,Trapani,ITA,2,1412.49511719,2013-12-27,2013-12-29
None,Trapani,ITA,2,1415.69628906,2013-12-30,2014-01-24
None,Trapani,ITA,2,1421.07971191,2014-01-25,2014-02-01
None,Trapani,ITA,2,1431.51403809,2014-02-02,2014-02-08
None,Trapani,ITA,2,1432.03723145,2014-02-09,2014-02-15
None,Trapani,ITA,2,1431.44226074,2014-02-16,2014-02-19
None,Trapani,ITA,2,1430.33996582,2014-02-20,2014-02-20
None,Trapani,ITA,2,1428.05773926,2014-02-21,2014-02-22
None,Trapani,ITA,2,1437.41052246,2014-02-23,2014-02-27
None,Trapani,ITA,2,1439.22924805,2014-02-28,2014-03-01
None,Trapani,ITA,2,1441.53845215,2014-03-02,2014-03-08
None,Trapani,ITA,2,1430.72192383,2014-03-09,2014-03-11
None,Trapani,ITA,2,1429.22180176,2014-03-12,2014-03-13
None,Trapani,ITA,2,1427.29553223,2014-03-14,2014-03-15
None,Trapani,ITA,2,1437.40124512,2014-03-16,2014-03-20
None,Trapani,ITA,2,1435.70751953,2014-03-21,2014-03-21
None,Trapani,ITA,2,1432.75219727,2014-03-22,2014-03-25
None,Trapani,ITA,2,1441.33959961,2014-03-26,2014-03-29
None,Trapani,ITA,2,1431.24572754,2014-03-30,2014-04-03
None,Trapani,ITA,2,1432.4029541,2014-04-04,2014-04-05
None,Trapani,ITA,2,1424.19348145,2014-04-06,2014-04-10
None,Trapani,ITA,2,1424.9564209,2014-04-11,2014-04-12
None,Trapani,ITA,2,1419.15759277,2014-04-13,2014-04-17
None,Trapani,ITA,2,1408.99865723,2014-04-18,2014-04-24
None,Trapani,ITA,2,1407.39990234,2014-04-25,2014-04-26
None,Trapani,ITA,2,1413.9140625,2014-04-27,2014-05-01
None,Trapani,ITA,2,1411.40869141,2014-05-02,2014-05-03
None,Trapani,ITA,2,1412.41027832,2014-05-04,2014-05-10
None,Trapani,ITA,2,1402.05786133,2014-05-11,2014-05-13
None,Trapani,ITA,2,1403.5534668,2014-05-14,2014-05-17
None,Trapani,ITA,2,1410.00976562,2014-05-18,2014-05-25
