Rank,Club,Country,Level,Elo,From,To
None,Venezia,ITA,1,1722.61303711,1946-07-07,1946-09-22
None,Venezia,ITA,1,1712.25891113,1946-09-23,1946-09-29
None,Venezia,ITA,1,1718.02258301,1946-09-30,1946-10-06
None,Venezia,ITA,1,1706.19714355,1946-10-07,1946-10-13
None,Venezia,ITA,1,1711.98730469,1946-10-14,1946-10-20
None,Venezia,ITA,1,1702.51538086,1946-10-21,1946-10-27
None,Venezia,ITA,1,1696.69812012,1946-10-28,1946-11-03
None,Venezia,ITA,1,1705.94262695,1946-11-04,1946-11-10
None,Venezia,ITA,1,1709.02478027,1946-11-11,1946-11-12
None,Venezia,ITA,1,1704.07531738,1946-11-13,1946-11-24
None,Venezia,ITA,1,1700.19946289,1946-11-25,1946-12-07
None,Venezia,ITA,1,1702.19946289,1946-12-08,1946-12-08
None,Venezia,ITA,1,1697.66088867,1946-12-09,1946-12-15
None,Venezia,ITA,1,1687.23413086,1946-12-16,1946-12-29
None,Venezia,ITA,1,1691.12060547,1946-12-30,1947-01-05
None,Venezia,ITA,1,1696.37634277,1947-01-06,1947-01-12
None,Venezia,ITA,1,1689.52990723,1947-01-13,1947-01-19
None,Venezia,ITA,1,1683.33605957,1947-01-20,1947-01-26
None,Venezia,ITA,1,1680.41662598,1947-01-27,1947-02-02
None,Venezia,ITA,1,1689.00708008,1947-02-03,1947-02-16
None,Venezia,ITA,1,1698.13806152,1947-02-17,1947-02-23
None,Venezia,ITA,1,1693.41125488,1947-02-24,1947-03-02
None,Venezia,ITA,1,1682.90917969,1947-03-03,1947-03-09
None,Venezia,ITA,1,1679.22155762,1947-03-10,1947-03-16
None,Venezia,ITA,1,1690.63330078,1947-03-17,1947-03-23
None,Venezia,ITA,1,1698.58947754,1947-03-24,1947-03-30
None,Venezia,ITA,1,1701.125,1947-03-31,1947-04-06
None,Venezia,ITA,1,1691.12341309,1947-04-07,1947-04-13
None,Venezia,ITA,1,1681.21606445,1947-04-14,1947-04-20
None,Venezia,ITA,1,1685.39550781,1947-04-21,1947-04-28
None,Venezia,ITA,1,1688.39550781,1947-04-29,1947-05-04
None,Venezia,ITA,1,1688.41784668,1947-05-05,1947-05-14
None,Venezia,ITA,1,1691.41784668,1947-05-15,1947-05-25
None,Venezia,ITA,1,1685.78503418,1947-05-26,1947-06-01
None,Venezia,ITA,1,1691.48010254,1947-06-02,1947-06-08
None,Venezia,ITA,1,1685.45825195,1947-06-09,1947-06-15
None,Venezia,ITA,1,1675.68664551,1947-06-16,1947-06-22
None,Venezia,ITA,1,1666.23522949,1947-06-23,1947-06-29
None,Venezia,ITA,1,1662.33203125,1947-06-30,1947-07-06
None,Venezia,ITA,1,1652.04943848,1947-07-07,1947-09-14
None,Venezia,ITA,2,1471.3972168,1948-07-04,1948-09-19
None,Venezia,ITA,2,1478.26330566,1948-09-20,1948-09-26
