Round,Start,Prev_Round_Start
1,24/08/2019,20/08/2019
2,30/08/2019,24/08/2019
3,14/09/2019,30/08/2019
4,20/09/2019,14/09/2019
5,24/09/2019,20/09/2019
6,28/09/2019,24/09/2019
7,05/10/2019,28/09/2019
8,19/10/2019,05/10/2019
9,25/10/2019,19/10/2019
10,29/10/2019,25/10/2019
11,02/11/2019,29/10/2019
12,08/11/2019,02/11/2019
13,23/11/2019,08/11/2019
14,30/11/2019,23/11/2019
15,06/12/2019,30/11/2019
16,14/12/2019,06/12/2019
17,18/12/2019,14/12/2019
18,05/01/2020,18/12/2019
19,11/01/2020,05/01/2020
20,18/01/2020,11/01/2020
21,24/01/2020,18/01/2020
22,01/02/2020,24/01/2020
23,07/02/2020,01/02/2020
24,15/02/2020,07/02/2020
25,21/02/2020,15/02/2020
26,29/02/2020,21/02/2020
27,13/03/2020,29/02/2020
28,20/03/2020,13/03/2020
29,20/03/2020,20/03/2020
30,04/04/2020,20/03/2020
31,11/04/2020,04/04/2020
32,19/04/2020,11/04/2020
33,22/04/2020,19/04/2020
34,26/04/2020,22/04/2020
35,03/05/2020,26/04/2020
36,10/05/2020,03/05/2020
37,17/05/2020,10/05/2020
38,24/05/2020,17/05/2020
