Rank,Club,Country,Level,Elo,From,To
None,Foggia,ITA,2,1395.99511719,1960-07-01,1960-09-21
None,Foggia,ITA,2,1395.76086426,1960-09-22,1960-09-25
None,Foggia,ITA,2,1389.63745117,1960-09-26,1960-10-02
None,Foggia,ITA,2,1387.359375,1960-10-03,1960-10-09
None,Foggia,ITA,2,1385.36584473,1960-10-10,1960-10-12
None,Foggia,ITA,2,1360.8536377,1960-10-13,1960-10-16
None,Foggia,ITA,2,1359.47375488,1960-10-17,1960-10-23
None,Foggia,ITA,2,1356.49572754,1960-10-24,1960-10-30
None,Foggia,ITA,2,1355.15820312,1960-10-31,1960-11-06
None,Foggia,ITA,2,1359.89746094,1960-11-07,1960-11-13
None,Foggia,ITA,2,1358.23071289,1960-11-14,1960-11-20
None,Foggia,ITA,2,1364.52050781,1960-11-21,1960-11-27
None,Foggia,ITA,2,1361.2565918,1960-11-28,1960-12-04
None,Foggia,ITA,2,1371.68981934,1960-12-05,1960-12-11
None,Foggia,ITA,2,1367.74401855,1960-12-12,1960-12-18
None,Foggia,ITA,2,1375.31652832,1960-12-19,1960-12-25
None,Foggia,ITA,2,1380.95336914,1960-12-26,1961-01-01
None,Foggia,ITA,2,1371.84057617,1961-01-02,1961-01-08
None,Foggia,ITA,2,1368.46691895,1961-01-09,1961-01-15
None,Foggia,ITA,2,1360.08850098,1961-01-16,1961-01-22
None,Foggia,ITA,2,1369.72387695,1961-01-23,1961-01-29
None,Foggia,ITA,2,1366.52368164,1961-01-30,1961-02-05
None,Foggia,ITA,2,1351.49780273,1961-02-06,1961-02-12
None,Foggia,ITA,2,1348.09265137,1961-02-13,1961-02-19
None,Foggia,ITA,2,1355.56164551,1961-02-20,1961-02-26
None,Foggia,ITA,2,1362.13830566,1961-02-27,1961-03-05
None,Foggia,ITA,2,1360.078125,1961-03-06,1961-03-12
None,Foggia,ITA,2,1357.23913574,1961-03-13,1961-03-19
None,Foggia,ITA,2,1346.48034668,1961-03-20,1961-03-26
None,Foggia,ITA,2,1343.22314453,1961-03-27,1961-04-02
None,Foggia,ITA,2,1339.73168945,1961-04-03,1961-04-09
None,Foggia,ITA,2,1347.83728027,1961-04-10,1961-04-16
None,Foggia,ITA,2,1343.75561523,1961-04-17,1961-04-23
None,Foggia,ITA,2,1350.23059082,1961-04-24,1961-04-30
None,Foggia,ITA,2,1345.0369873,1961-05-01,1961-05-07
None,Foggia,ITA,2,1350.84533691,1961-05-08,1961-05-11
None,Foggia,ITA,2,1347.74023438,1961-05-12,1961-05-14
None,Foggia,ITA,2,1365.99145508,1961-05-15,1961-05-21
None,Foggia,ITA,2,1371.73339844,1961-05-22,1961-05-28
None,Foggia,ITA,2,1367.18225098,1961-05-29,1961-06-04
None,Foggia,ITA,2,1359.69616699,1961-06-05,1961-07-02
None,Foggia,ITA,2,1421.77355957,1962-07-01,1962-09-05
None,Foggia,ITA,2,1404.58581543,1962-09-06,1962-09-12
None,Foggia,ITA,2,1404.60437012,1962-09-13,1962-09-16
None,Foggia,ITA,2,1405.20214844,1962-09-17,1962-09-19
None,Foggia,ITA,2,1405.23278809,1962-09-20,1962-09-23
None,Foggia,ITA,2,1402.77819824,1962-09-24,1962-09-26
None,Foggia,ITA,2,1407.09448242,1962-09-27,1962-09-30
None,Foggia,ITA,2,1414.1739502,1962-10-01,1962-10-07
None,Foggia,ITA,2,1426.66442871,1962-10-08,1962-10-10
None,Foggia,ITA,2,1436.0032959,1962-10-11,1962-10-21
None,Foggia,ITA,2,1442.98791504,1962-10-22,1962-10-28
None,Foggia,ITA,2,1471.10375977,1962-10-29,1962-11-04
None,Foggia,ITA,2,1475.41772461,1962-11-05,1962-11-11
None,Foggia,ITA,2,1471.34204102,1962-11-12,1962-11-14
None,Foggia,ITA,2,1477.44812012,1962-11-15,1962-11-18
None,Foggia,ITA,2,1481.23657227,1962-11-19,1962-11-19
None,Foggia,ITA,2,1483.62390137,1962-11-20,1962-11-25
None,Foggia,ITA,2,1477.77062988,1962-11-26,1962-11-28
None,Foggia,ITA,2,1473.06921387,1962-11-29,1962-12-02
None,Foggia,ITA,2,1472.62890625,1962-12-03,1962-12-04
None,Foggia,ITA,2,1494.24658203,1962-12-05,1962-12-16
None,Foggia,ITA,2,1489.10961914,1962-12-17,1962-12-23
None,Foggia,ITA,2,1496.83679199,1962-12-24,1962-12-30
None,Foggia,ITA,2,1491.26049805,1962-12-31,1963-01-06
None,Foggia,ITA,2,1495.86523438,1963-01-07,1963-01-13
None,Foggia,ITA,2,1499.32629395,1963-01-14,1963-01-20
None,Foggia,ITA,2,1501.57043457,1963-01-21,1963-01-23
None,Foggia,ITA,2,1501.98596191,1963-01-24,1963-01-27
None,Foggia,ITA,2,1501.44763184,1963-01-28,1963-02-03
None,Foggia,ITA,2,1506.79321289,1963-02-04,1963-02-06
None,Foggia,ITA,2,1495.19799805,1963-02-07,1963-02-10
None,Foggia,ITA,2,1502.65600586,1963-02-11,1963-02-17
None,Foggia,ITA,2,1498.17895508,1963-02-18,1963-02-24
None,Foggia,ITA,2,1494.78967285,1963-02-25,1963-03-03
None,Foggia,ITA,2,1487.40100098,1963-03-04,1963-03-10
None,Foggia,ITA,2,1491.66687012,1963-03-11,1963-03-13
None,Foggia,ITA,2,1492.23071289,1963-03-14,1963-03-17
None,Foggia,ITA,2,1497.59924316,1963-03-18,1963-03-20
None,Foggia,ITA,2,1500.78613281,1963-03-21,1963-03-24
None,Foggia,ITA,2,1492.66784668,1963-03-25,1963-04-03
None,Foggia,ITA,2,1480.94775391,1963-04-04,1963-04-07
None,Foggia,ITA,2,1487.41796875,1963-04-08,1963-04-14
None,Foggia,ITA,2,1490.09460449,1963-04-15,1963-04-21
None,Foggia,ITA,2,1480.82641602,1963-04-22,1963-04-24
None,Foggia,ITA,2,1484.21228027,1963-04-25,1963-04-28
None,Foggia,ITA,2,1481.26086426,1963-04-29,1963-05-01
None,Foggia,ITA,2,1481.80395508,1963-05-02,1963-05-05
None,Foggia,ITA,2,1478.60998535,1963-05-06,1963-05-12
None,Foggia,ITA,2,1490.69226074,1963-05-13,1963-05-19
None,Foggia,ITA,2,1499.13464355,1963-05-20,1963-05-22
None,Foggia,ITA,2,1505.78637695,1963-05-23,1963-05-26
None,Foggia,ITA,2,1500.48706055,1963-05-27,1963-06-02
None,Foggia,ITA,2,1504.28833008,1963-06-03,1963-06-09
None,Foggia,ITA,2,1513.16540527,1963-06-10,1963-06-16
None,Foggia,ITA,2,1518.50854492,1963-06-17,1963-09-04
None,Foggia,ITA,2,1523.0098877,1963-09-05,1963-09-15
None,Foggia,ITA,2,1526.52075195,1963-09-16,1963-09-18
None,Foggia,ITA,2,1529.88037109,1963-09-19,1963-09-22
None,Foggia,ITA,2,1524.23193359,1963-09-23,1963-09-25
None,Foggia,ITA,2,1527.20373535,1963-09-26,1963-09-29
None,Foggia,ITA,2,1522.85742188,1963-09-30,1963-10-06
None,Foggia,ITA,2,1529.16894531,1963-10-07,1963-10-09
None,Foggia,ITA,2,1524.81677246,1963-10-10,1963-10-13
None,Foggia,ITA,2,1530.78100586,1963-10-14,1963-10-14
None,Foggia,ITA,2,1518.20849609,1963-10-15,1963-10-27
None,Foggia,ITA,2,1512.9029541,1963-10-28,1963-11-03
None,Foggia,ITA,2,1507.65576172,1963-11-04,1963-11-10
None,Foggia,ITA,2,1503.41638184,1963-11-11,1963-11-17
None,Foggia,ITA,2,1508.00805664,1963-11-18,1963-11-24
None,Foggia,ITA,2,1513.03808594,1963-11-25,1963-11-27
None,Foggia,ITA,2,1512.5378418,1963-11-28,1963-12-01
None,Foggia,ITA,2,1518.16027832,1963-12-02,1963-12-04
None,Foggia,ITA,2,1525.40222168,1963-12-05,1963-12-08
None,Foggia,ITA,2,1531.99279785,1963-12-09,1963-12-15
None,Foggia,ITA,2,1534.21655273,1963-12-16,1963-12-22
