Rank,Club,Country,Level,Elo,From,To
None,Chievo,ITA,2,1517.44519043,1994-07-13,1994-09-04
None,Chievo,ITA,2,1518.81848145,1994-09-05,1994-09-11
None,Chievo,ITA,2,1516.90454102,1994-09-12,1994-09-13
None,Chievo,ITA,2,1514.4074707,1994-09-14,1994-09-14
None,Chievo,ITA,2,1508.78198242,1994-09-15,1994-09-15
None,Chievo,ITA,2,1508.86303711,1994-09-16,1994-09-18
None,Chievo,ITA,2,1499.42895508,1994-09-19,1994-09-25
None,Chievo,ITA,2,1521.70288086,1994-09-26,1994-09-27
None,Chievo,ITA,2,1525.20166016,1994-09-28,1994-09-28
None,Chievo,ITA,2,1525.90869141,1994-09-29,1994-09-29
None,Chievo,ITA,2,1523.21813965,1994-09-30,1994-10-02
None,Chievo,ITA,2,1512.08898926,1994-10-03,1994-10-09
None,Chievo,ITA,2,1523.08068848,1994-10-10,1994-10-16
None,Chievo,ITA,2,1521.92871094,1994-10-17,1994-10-18
None,Chievo,ITA,2,1523.55407715,1994-10-19,1994-10-19
None,Chievo,ITA,2,1522.30517578,1994-10-20,1994-10-20
None,Chievo,ITA,2,1523.10083008,1994-10-21,1994-10-23
None,Chievo,ITA,2,1541.42687988,1994-10-24,1994-10-30
None,Chievo,ITA,2,1537.79797363,1994-10-31,1994-11-01
None,Chievo,ITA,2,1538.91638184,1994-11-02,1994-11-02
None,Chievo,ITA,2,1539.3416748,1994-11-03,1994-11-03
None,Chievo,ITA,2,1539.26379395,1994-11-04,1994-11-06
None,Chievo,ITA,2,1535.38220215,1994-11-07,1994-11-13
None,Chievo,ITA,2,1544.65270996,1994-11-14,1994-11-22
None,Chievo,ITA,2,1543.39331055,1994-11-23,1994-11-23
None,Chievo,ITA,2,1535.85949707,1994-11-24,1994-11-24
None,Chievo,ITA,2,1535.41638184,1994-11-25,1994-11-27
None,Chievo,ITA,2,1529.07299805,1994-11-28,1994-12-02
None,Chievo,ITA,2,1523.31518555,1994-12-03,1994-12-04
None,Chievo,ITA,2,1527.92114258,1994-12-05,1994-12-06
None,Chievo,ITA,2,1531.15161133,1994-12-07,1994-12-07
None,Chievo,ITA,2,1534.0213623,1994-12-08,1994-12-11
None,Chievo,ITA,2,1538.11035156,1994-12-12,1994-12-18
None,Chievo,ITA,2,1521.72900391,1994-12-19,1994-12-23
None,Chievo,ITA,2,1526.0012207,1994-12-24,1995-01-08
None,Chievo,ITA,2,1517.40270996,1995-01-09,1995-01-15
None,Chievo,ITA,2,1522.2130127,1995-01-16,1995-01-22
None,Chievo,ITA,2,1518.01977539,1995-01-23,1995-01-29
None,Chievo,ITA,2,1514.76989746,1995-01-30,1995-02-12
None,Chievo,ITA,2,1509.09265137,1995-02-13,1995-02-19
None,Chievo,ITA,2,1513.80773926,1995-02-20,1995-02-26
None,Chievo,ITA,2,1519.6953125,1995-02-27,1995-03-01
None,Chievo,ITA,2,1522.44262695,1995-03-02,1995-03-02
None,Chievo,ITA,2,1519.68811035,1995-03-03,1995-03-05
None,Chievo,ITA,2,1515.10131836,1995-03-06,1995-03-12
None,Chievo,ITA,2,1501.74414062,1995-03-13,1995-03-14
None,Chievo,ITA,2,1502.44506836,1995-03-15,1995-03-15
None,Chievo,ITA,2,1503.48364258,1995-03-16,1995-03-16
None,Chievo,ITA,2,1504.78161621,1995-03-17,1995-03-19
None,Chievo,ITA,2,1508.58691406,1995-03-20,1995-03-26
None,Chievo,ITA,2,1515.82434082,1995-03-27,1995-04-02
None,Chievo,ITA,2,1506.46826172,1995-04-03,1995-04-04
None,Chievo,ITA,2,1505.75183105,1995-04-05,1995-04-05
