Rank,Club,Country,Level,Elo,From,To
None,Cosenza,ITA,2,1385.57202148,1961-07-02,1961-09-03
None,Cosenza,ITA,2,1384.93920898,1961-09-04,1961-09-10
None,Cosenza,ITA,2,1382.28173828,1961-09-11,1961-09-17
None,Cosenza,ITA,2,1376.14758301,1961-09-18,1961-09-20
None,Cosenza,ITA,2,1377.08618164,1961-09-21,1961-09-24
None,Cosenza,ITA,2,1386.27978516,1961-09-25,1961-09-27
None,Cosenza,ITA,2,1386.81933594,1961-09-28,1961-10-01
None,Cosenza,ITA,2,1384.61010742,1961-10-02,1961-10-08
None,Cosenza,ITA,2,1389.93103027,1961-10-09,1961-10-22
None,Cosenza,ITA,2,1382.29333496,1961-10-23,1961-10-25
None,Cosenza,ITA,2,1388.23913574,1961-10-26,1961-10-29
None,Cosenza,ITA,2,1393.8157959,1961-10-30,1961-11-05
None,Cosenza,ITA,2,1390.72363281,1961-11-06,1961-11-08
None,Cosenza,ITA,2,1399.29223633,1961-11-09,1961-11-15
None,Cosenza,ITA,2,1407.12768555,1961-11-16,1961-11-19
None,Cosenza,ITA,2,1401.17053223,1961-11-20,1961-11-22
None,Cosenza,ITA,2,1418.09326172,1961-11-23,1961-11-26
None,Cosenza,ITA,2,1422.99597168,1961-11-27,1961-12-03
None,Cosenza,ITA,2,1432.82507324,1961-12-04,1961-12-10
None,Cosenza,ITA,2,1439.44909668,1961-12-11,1961-12-17
None,Cosenza,ITA,2,1430.80712891,1961-12-18,1961-12-24
None,Cosenza,ITA,2,1427.27685547,1961-12-25,1961-12-31
None,Cosenza,ITA,2,1426.87109375,1962-01-01,1962-01-07
None,Cosenza,ITA,2,1413.06384277,1962-01-08,1962-01-14
None,Cosenza,ITA,2,1411.62121582,1962-01-15,1962-01-21
None,Cosenza,ITA,2,1416.98486328,1962-01-22,1962-01-28
None,Cosenza,ITA,2,1412.29504395,1962-01-29,1962-02-04
None,Cosenza,ITA,2,1403.17285156,1962-02-05,1962-02-11
None,Cosenza,ITA,2,1395.76416016,1962-02-12,1962-02-14
None,Cosenza,ITA,2,1392.72302246,1962-02-15,1962-02-18
None,Cosenza,ITA,2,1389.41088867,1962-02-19,1962-02-21
None,Cosenza,ITA,2,1388.04260254,1962-02-22,1962-02-25
None,Cosenza,ITA,2,1392.91052246,1962-02-26,1962-02-26
None,Cosenza,ITA,2,1395.78320312,1962-02-27,1962-02-27
None,Cosenza,ITA,2,1398.13146973,1962-02-28,1962-02-28
