Rank,Club,Country,Level,Elo,From,To
1,Barcelona,ESP,1,2042.22387695,2019-04-28,2019-05-01
2,Man City,ENG,1,2019.75537109,2019-05-01,2019-05-01
3,Liverpool,ENG,1,2006.37573242,2019-05-01,2019-05-01
4,Bayern,GER,1,1938.55065918,2019-04-29,2019-05-02
5,Juventus,ITA,1,1914.66259766,2019-04-28,2019-05-01
6,Atletico,ESP,1,1913.1184082,2019-04-28,2019-05-01
7,Tottenham,ENG,1,1884.67199707,2019-05-01,2019-05-01
8,Real Madrid,ESP,1,1878.20983887,2019-04-29,2019-05-01
9,Chelsea,ENG,1,1856.57019043,2019-05-01,2019-05-01
10,Man United,ENG,1,1853.2635498,2019-05-01,2019-05-01
11,Arsenal,ENG,1,1849.58544922,2019-05-01,2019-05-01
12,Paris SG,FRA,1,1845.24450684,2019-05-01,2019-05-04
13,Ajax,NED,1,1834.2878418,2019-05-01,2019-05-08
14,Valencia,ESP,1,1812.05285645,2019-04-29,2019-05-01
15,Dortmund,GER,1,1811.25476074,2019-04-28,2019-05-02
16,Porto,POR,1,1804.86694336,2019-04-27,2019-05-04
17,Napoli,ITA,1,1801.23278809,2019-04-29,2019-05-05
18,RB Leipzig,GER,1,1788.95532227,2019-04-28,2019-05-02
19,Benfica,POR,1,1788.65197754,2019-04-29,2019-05-02
20,Frankfurt,GER,1,1780.53942871,2019-04-29,2019-05-02
21,Getafe,ESP,1,1766.6697998,2019-04-29,2019-05-01
22,Sevilla,ESP,1,1760.34472656,2019-04-29,2019-05-01
23,Salzburg,AUT,1,1752.01171875,2019-04-29,2019-05-03
24,Hoffenheim,GER,1,1748.69824219,2019-04-29,2019-05-02
25,Everton,ENG,1,1743.63000488,2019-05-01,2019-05-01
26,Shakhtar,UKR,1,1737.3885498,2019-04-29,2019-05-01
27,Bilbao,ESP,1,1737.15002441,2019-04-29,2019-05-01
28,Inter,ITA,1,1736.89135742,2019-04-29,2019-05-04
29,Roma,ITA,1,1736.73608398,2019-04-28,2019-05-04
30,Leverkusen,GER,1,1732.66296387,2019-04-29,2019-05-01
31,Villarreal,ESP,1,1731.98291016,2019-04-29,2019-05-01
32,PSV,NED,1,1726.64428711,2019-05-01,2019-05-05
33,Leicester,ENG,1,1724.6550293,2019-05-01,2019-05-01
34,Atalanta,ITA,1,1722.4543457,2019-05-01,2019-05-01
35,Sporting,POR,1,1719.37036133,2019-04-30,2019-05-04
36,Crystal Palace,ENG,1,1715.09326172,2019-05-01,2019-05-01
37,Eibar,ESP,1,1712.80151367,2019-04-29,2019-05-01
38,Sociedad,ESP,1,1708.93920898,2019-04-29,2019-05-01
39,Lyon,FRA,1,1707.27246094,2019-05-01,2019-05-04
40,Wolfsburg,GER,1,1704.04272461,2019-05-01,2019-05-01
41,Wolves,ENG,1,1704.0390625,2019-05-01,2019-05-01
42,Espanyol,ESP,1,1701.92004395,2019-04-30,2019-05-01
43,Alaves,ESP,1,1698.13623047,2019-04-28,2019-05-01
44,Werder,GER,1,1694.46765137,2019-05-01,2019-05-02
45,Zenit,RUS,1,1693.37121582,2019-05-01,2019-05-03
46,Watford,ENG,1,1692.84436035,2019-05-01,2019-05-01
47,Torino,ITA,1,1691.85241699,2019-05-01,2019-05-01
48,Gladbach,GER,1,1690.95800781,2019-05-01,2019-05-01
49,Newcastle,ENG,1,1690.31347656,2019-05-01,2019-05-01
50,Milan,ITA,1,1690.22741699,2019-05-01,2019-05-01
51,West Ham,ENG,1,1689.36950684,2019-05-01,2019-05-01
52,Young Boys,SUI,1,1688.46496582,2019-04-29,2019-05-01
53,CSKA Moskva,RUS,1,1684.27697754,2019-05-01,2019-05-03
54,Burnley,ENG,1,1682.46142578,2019-05-01,2019-05-01
55,Celta,ESP,1,1677.96569824,2019-05-01,2019-05-01
56,Lazio,ITA,1,1676.68920898,2019-05-01,2019-05-01
57,Leganes,ESP,1,1676.51647949,2019-05-01,2019-05-01
58,Southampton,ENG,1,1676.4074707,2019-05-01,2019-05-01
59,Dynamo Kyiv,UKR,1,1673.79870605,2019-05-01,2019-05-01
60,Bournemouth,ENG,1,1673.07116699,2019-05-01,2019-05-01
61,Betis,ESP,1,1671.38452148,2019-04-30,2019-05-01
62,Levante,ESP,1,1670.48632812,2019-04-29,2019-05-01
63,Lille,FRA,1,1668.30395508,2019-04-29,2019-05-04
64,Dinamo Zagreb,CRO,1,1661.59875488,2019-04-29,2019-05-05
65,FC Krasnodar,RUS,1,1655.36694336,2019-04-29,2019-05-05
66,Girona,ESP,1,1650.54614258,2019-04-29,2019-05-01
67,Saint-Etienne,FRA,1,1650.11303711,2019-04-29,2019-05-05
68,Slavia Praha,CZE,1,1646.96191406,2019-04-29,2019-05-03
69,Schalke,GER,1,1646.10461426,2019-04-29,2019-05-02
70,PAOK,GRE,1,1645.56750488,2019-04-29,2019-05-02
71,Olympiakos,GRE,1,1645.49804688,2019-04-29,2019-05-02
72,Lok Moskva,RUS,1,1642.4675293,2019-04-29,2019-05-03
73,Genk,BEL,1,1640.63623047,2019-04-28,2019-05-03
